Station,Mag (nT)
0,49472.2
1,49544.8
2,49575.4
3,49590.1
4,49604.5
5,49612.9
6,49618.9
7,49622.1
8,49626.1
9,49629.4
10,49633
11,49636.6
12,49640
13,49643.8
14,49646.7
15,49646.5
16,49646.1
17,49647.5
18,49651.2
19,49650.7
20,49646.8
21,49641
22,49635.2
23,49621
24,49595.8
25,49541
26,49475.1
27,49409.6
28,49371.2
29,49342
30,49315.7
31,49286.4
32,49257.1
33,49224.6
34,49200.4
35,49172.1
36,49152.1
37,49152
38,49215
39,49349
40,49596
41,49846
42,49976
43,49962
44,49916.7
45,49858.9
46,49823.7
47,49789.6
48,49769
49,49744.7
50,49714.8
51,49688.9
